id,datetime_added,journal,search_term,datetime_article,category,type,title,link,comment_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
DI202409270549-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:49:00,nacional,article,Grandvalira modifica l’organigrama i nomena dos directors generals,https://www.diariandorra.ad/nacional/240927/grandvalira-modifica-l-organigrama-i-nomena-dos-directors-generals_158880.html,,,,,,,,
DI202409270547-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:47:00,nacional,article,Salut mental atén més de 3.000 adults el 2023,https://www.diariandorra.ad/nacional/240927/salut-mental-aten-mes-3-000-adults-2023_158879.html,,,,,,,,
DI202409270543-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:43:00,nacional,article,Els advocats s’uneixen contra l’abús de la presó provisional,https://www.diariandorra.ad/nacional/240927/els-advocats-s-uneixen-l-abus-preso-provisional_158878.html,,,,,,,,
DI202409270541-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:41:00,parroquies,article,Dards encreuats per l’habitatge i les inversions entre majoria i minoria,https://www.diariandorra.ad/parroquies/240927/dards-encreuats-per-l-habitatge-i-les-inversions-majoria-i-minoria_158877.html,,,,,,,,
DI202409270539-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:39:00,parroquies,article,"Adjudicat per 3,5 milions el nou centre per a la gent gran",https://www.diariandorra.ad/parroquies/240927/adjudicat-per-3-5-milions-nou-centre-per-gent-gran_158876.html,,,,,,,,
DI202409270537-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:37:00,parroquies,article,Reivindicació del sector amb la Festa de la transhumància,https://www.diariandorra.ad/parroquies/240927/reivindicacio-sector-amb-festa-transhumancia_158875.html,,,,,,,,
DI202409270535-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:35:00,esports,article,Trencat l'acord per al nou estadi,https://www.diariandorra.ad/esports/240927/trencat-l-acord-per-nou-estadi_158874.html,,,,,,,,
DI202409270531-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:31:00,esports,article,“Sabem que podem fer coses importants”,https://www.diariandorra.ad/esports/240927/sabem-podem-fer-coses-importants_158873.html,,,,,,,,
DI202409270529-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:29:00,esports,article,"Jordina Caminal, tercera al primer descens SAC a Xile",https://www.diariandorra.ad/esports/240927/jordina-caminal-tercera-primer-descens-sac-xile_158872.html,,,,,,,,
DI202409270528-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:28:00,esports,article,Vicky Jiménez accedeix a la segona ronda de Lisboa,https://www.diariandorra.ad/esports/240927/vicky-jimenez-accedeix-segona-ronda-lisboa_158871.html,,,,,,,,
DI202409270526-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:26:00,esports,article,Xavi Cardelús afronta el Gran Premi d’Indonèsia,https://www.diariandorra.ad/esports/240927/xavi-cardelus-afronta-gran-premi-d-indonesia_158870.html,,,,,,,,
DI202409270525-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:25:00,esports,article,Jové acaba en el 41è lloc a la Sea Otter Girona,https://www.diariandorra.ad/esports/240927/jove-acaba-41e-lloc-sea-otter-girona_158869.html,,,,,,,,
DI202409270524-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:24:00,esports,article,Arriba el Trial clàssic coll de la Botella,https://www.diariandorra.ad/esports/240927/trial-classic-coll-botella_158868.html,,,,,,,,
